Todesursache;Total_TU;Alter;Todesfälle;Total_AK;Jahr;Geschlecht;Grösse;Kategorie
Perinatale Todesursachen;79.0;1-14J;0.0;105.0;1990;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;1-14J;32.0;105.0;1990;Frau;0.3047619047619048;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;1-14J;22.0;105.0;1990;Frau;0.20952380952380953;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;1-14J;14.0;105.0;1990;Frau;0.13333333333333333;Unfälle und Gewalteinwirkungen
Suizid;435.0;1-14J;4.0;105.0;1990;Frau;0.0380952380952381;Unfälle und Gewalteinwirkungen
Demenz;1.0;1-14J;0.0;105.0;1990;Frau;0.0;Demenz
Infektiöse Krankheiten;270.0;15-44J;65.0;986.0;1990;Frau;0.06592292089249494;Infektiöse Krankheiten
Tuberkulose;23.0;15-44J;0.0;986.0;1990;Frau;0.0;Infektiöse Krankheiten
AIDS;60.0;15-44J;56.0;986.0;1990;Frau;0.056795131845841784;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;15-44J;298.0;986.0;1990;Frau;0.3022312373225152;Bösartige Tumoren
Magen;371.0;15-44J;11.0;986.0;1990;Frau;0.011156186612576065;Bösartige Tumoren
Dickdarm;677.0;15-44J;14.0;986.0;1990;Frau;0.014198782961460446;Bösartige Tumoren
Lunge;491.0;15-44J;24.0;986.0;1990;Frau;0.02434077079107505;Bösartige Tumoren
Brust;1675.0;15-44J;84.0;986.0;1990;Frau;0.08519269776876268;Bösartige Tumoren
Gebärmutterhals;148.0;15-44J;17.0;986.0;1990;Frau;0.017241379310344827;Bösartige Tumoren
Diabetes mellitus;840.0;15-44J;6.0;986.0;1990;Frau;0.006085192697768763;Diabetes mellitus
Kreislaufsystem;14951.0;15-44J;92.0;986.0;1990;Frau;0.09330628803245436;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;15-44J;50.0;986.0;1990;Frau;0.05070993914807302;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;15-44J;16.0;986.0;1990;Frau;0.016227180527383367;Kreislaufsystem
Lungenembolie;330.0;15-44J;8.0;986.0;1990;Frau;0.008113590263691683;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;15-44J;28.0;986.0;1990;Frau;0.028397565922920892;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;15-44J;24.0;986.0;1990;Frau;0.02434077079107505;Atmungsorgane insgesamt
Grippe;640.0;15-44J;1.0;986.0;1990;Frau;0.0010141987829614604;Atmungsorgane insgesamt
Pneumonie;1068.0;15-44J;6.0;986.0;1990;Frau;0.006085192697768763;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;15-44J;2.0;986.0;1990;Frau;0.002028397565922921;Atmungsorgane insgesamt
Asthma;131.0;15-44J;10.0;986.0;1990;Frau;0.010141987829614604;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;15-44J;23.0;986.0;1990;Frau;0.02332657200811359;Alkoholische Leberzirrhose
Harnorgane;296.0;15-44J;3.0;986.0;1990;Frau;0.0030425963488843813;Harnorgane
Kongenitale Missbildungen;122.0;15-44J;7.0;986.0;1990;Frau;0.007099391480730223;Kongenitale Missbildungen
Perinatale Todesursachen;79.0;15-44J;0.0;986.0;1990;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;15-44J;361.0;986.0;1990;Frau;0.3661257606490872;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;15-44J;156.0;986.0;1990;Frau;0.15821501014198783;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;15-44J;81.0;986.0;1990;Frau;0.0821501014198783;Unfälle und Gewalteinwirkungen
Suizid;435.0;15-44J;151.0;986.0;1990;Frau;0.15314401622718052;Unfälle und Gewalteinwirkungen
Demenz;1.0;15-44J;0.0;986.0;1990;Frau;0.0;Demenz
Infektiöse Krankheiten;270.0;45-64J;26.0;2980.0;1990;Frau;0.0087248322147651;Infektiöse Krankheiten
Tuberkulose;23.0;45-64J;3.0;2980.0;1990;Frau;0.0010067114093959733;Infektiöse Krankheiten
AIDS;60.0;45-64J;2.0;2980.0;1990;Frau;0.0006711409395973154;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;45-64J;1563.0;2980.0;1990;Frau;0.524496644295302;Bösartige Tumoren
Magen;371.0;45-64J;42.0;2980.0;1990;Frau;0.014093959731543624;Bösartige Tumoren
Dickdarm;677.0;45-64J;94.0;2980.0;1990;Frau;0.03154362416107383;Bösartige Tumoren
Lunge;491.0;45-64J;151.0;2980.0;1990;Frau;0.05067114093959731;Bösartige Tumoren
Brust;1675.0;45-64J;486.0;2980.0;1990;Frau;0.16308724832214766;Bösartige Tumoren
Gebärmutterhals;148.0;45-64J;38.0;2980.0;1990;Frau;0.012751677852348993;Bösartige Tumoren
Diabetes mellitus;840.0;45-64J;47.0;2980.0;1990;Frau;0.015771812080536914;Diabetes mellitus
Kreislaufsystem;14951.0;45-64J;561.0;2980.0;1990;Frau;0.18825503355704698;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;45-64J;408.0;2980.0;1990;Frau;0.13691275167785236;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;45-64J;219.0;2980.0;1990;Frau;0.07348993288590604;Kreislaufsystem
Lungenembolie;330.0;45-64J;13.0;2980.0;1990;Frau;0.00436241610738255;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;45-64J;109.0;2980.0;1990;Frau;0.03657718120805369;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;45-64J;114.0;2980.0;1990;Frau;0.03825503355704698;Atmungsorgane insgesamt
Grippe;640.0;45-64J;12.0;2980.0;1990;Frau;0.004026845637583893;Atmungsorgane insgesamt
Pneumonie;1068.0;45-64J;29.0;2980.0;1990;Frau;0.009731543624161074;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;45-64J;32.0;2980.0;1990;Frau;0.010738255033557046;Atmungsorgane insgesamt
Asthma;131.0;45-64J;23.0;2980.0;1990;Frau;0.0077181208053691275;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;45-64J;86.0;2980.0;1990;Frau;0.028859060402684565;Alkoholische Leberzirrhose
Harnorgane;296.0;45-64J;17.0;2980.0;1990;Frau;0.005704697986577181;Harnorgane
Kongenitale Missbildungen;122.0;45-64J;1.0;2980.0;1990;Frau;0.0003355704697986577;Kongenitale Missbildungen
Perinatale Todesursachen;79.0;45-64J;0.0;2980.0;1990;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;45-64J;281.0;2980.0;1990;Frau;0.09429530201342282;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;45-64J;116.0;2980.0;1990;Frau;0.038926174496644296;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;45-64J;51.0;2980.0;1990;Frau;0.017114093959731545;Unfälle und Gewalteinwirkungen
Suizid;435.0;45-64J;143.0;2980.0;1990;Frau;0.04798657718120805;Unfälle und Gewalteinwirkungen
Demenz;1.0;45-64J;0.0;2980.0;1990;Frau;0.0;Demenz
Infektiöse Krankheiten;270.0;65-84J;94.0;15107.0;1990;Frau;0.00622228106175945;Infektiöse Krankheiten
Tuberkulose;23.0;65-84J;11.0;15107.0;1990;Frau;0.0007281392731846164;Infektiöse Krankheiten
AIDS;60.0;65-84J;1.0;15107.0;1990;Frau;6.619447938041967e-05;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;65-84J;4055.0;15107.0;1990;Frau;0.2684186138876018;Bösartige Tumoren
Magen;371.0;65-84J;211.0;15107.0;1990;Frau;0.013967035149268552;Bösartige Tumoren
Dickdarm;677.0;65-84J;380.0;15107.0;1990;Frau;0.025153902164559476;Bösartige Tumoren
Lunge;491.0;65-84J;281.0;15107.0;1990;Frau;0.018600648705897928;Bösartige Tumoren
Brust;1675.0;65-84J;812.0;15107.0;1990;Frau;0.05374991725690077;Bösartige Tumoren
Gebärmutterhals;148.0;65-84J;70.0;15107.0;1990;Frau;0.004633613556629377;Bösartige Tumoren
Diabetes mellitus;840.0;65-84J;521.0;15107.0;1990;Frau;0.03448732375719865;Diabetes mellitus
Kreislaufsystem;14951.0;65-84J;7060.0;15107.0;1990;Frau;0.4673330244257629;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;65-84J;4861.0;15107.0;1990;Frau;0.32177136426822;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;65-84J;2503.0;15107.0;1990;Frau;0.16568478188919045;Kreislaufsystem
Lungenembolie;330.0;65-84J;172.0;15107.0;1990;Frau;0.011385450453432184;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;65-84J;1672.0;15107.0;1990;Frau;0.11067716952406169;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;65-84J;1066.0;15107.0;1990;Frau;0.07056331501952737;Atmungsorgane insgesamt
Grippe;640.0;65-84J;243.0;15107.0;1990;Frau;0.01608525848944198;Atmungsorgane insgesamt
Pneumonie;1068.0;65-84J;435.0;15107.0;1990;Frau;0.02879459853048256;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;65-84J;196.0;15107.0;1990;Frau;0.012974117958562256;Atmungsorgane insgesamt
Asthma;131.0;65-84J;80.0;15107.0;1990;Frau;0.005295558350433574;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;65-84J;38.0;15107.0;1990;Frau;0.0025153902164559475;Alkoholische Leberzirrhose
Harnorgane;296.0;65-84J;164.0;15107.0;1990;Frau;0.010855894618388826;Harnorgane
Kongenitale Missbildungen;122.0;65-84J;0.0;15107.0;1990;Frau;0.0;Kongenitale Missbildungen
Perinatale Todesursachen;79.0;65-84J;0.0;15107.0;1990;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;65-84J;708.0;15107.0;1990;Frau;0.04686569140133713;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;65-84J;570.0;15107.0;1990;Frau;0.03773085324683921;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;65-84J;72.0;15107.0;1990;Frau;0.004766002515390217;Unfälle und Gewalteinwirkungen
Suizid;435.0;65-84J;124.0;15107.0;1990;Frau;0.00820811544317204;Unfälle und Gewalteinwirkungen
Demenz;1.0;65-84J;0.0;15107.0;1990;Frau;0.0;Demenz
Infektiöse Krankheiten;270.0;85+;68.0;11811.0;1990;Frau;0.00575734484802303;Infektiöse Krankheiten
Tuberkulose;23.0;85+;9.0;11811.0;1990;Frau;0.000762001524003048;Infektiöse Krankheiten
AIDS;60.0;85+;0.0;11811.0;1990;Frau;0.0;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;85+;1368.0;11811.0;1990;Frau;0.1158242316484633;Bösartige Tumoren
Magen;371.0;85+;107.0;11811.0;1990;Frau;0.009059351452036237;Bösartige Tumoren
Dickdarm;677.0;85+;189.0;11811.0;1990;Frau;0.01600203200406401;Bösartige Tumoren
Lunge;491.0;85+;35.0;11811.0;1990;Frau;0.0029633392600118534;Bösartige Tumoren
Brust;1675.0;85+;293.0;11811.0;1990;Frau;0.02480738294809923;Bösartige Tumoren
Gebärmutterhals;148.0;85+;23.0;11811.0;1990;Frau;0.0019473372280077895;Bösartige Tumoren
Diabetes mellitus;840.0;85+;265.0;11811.0;1990;Frau;0.022436711540089745;Diabetes mellitus
Kreislaufsystem;14951.0;85+;7229.0;11811.0;1990;Frau;0.6120565574464483;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;85+;4993.0;11811.0;1990;Frau;0.42274151214969097;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;85+;1831.0;11811.0;1990;Frau;0.1550249767166201;Kreislaufsystem
Lungenembolie;330.0;85+;137.0;11811.0;1990;Frau;0.011599356532046398;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;85+;1621.0;11811.0;1990;Frau;0.13724494115654898;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;85+;1205.0;11811.0;1990;Frau;0.10202353738040809;Atmungsorgane insgesamt
Grippe;640.0;85+;384.0;11811.0;1990;Frau;0.032512065024130045;Atmungsorgane insgesamt
Pneumonie;1068.0;85+;591.0;11811.0;1990;Frau;0.05003810007620015;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;85+;85.0;11811.0;1990;Frau;0.0071966810600287865;Atmungsorgane insgesamt
Asthma;131.0;85+;16.0;11811.0;1990;Frau;0.0013546693760054186;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;85+;5.0;11811.0;1990;Frau;0.00042333418000169333;Alkoholische Leberzirrhose
Harnorgane;296.0;85+;111.0;11811.0;1990;Frau;0.009398018796037593;Harnorgane
Kongenitale Missbildungen;122.0;85+;0.0;11811.0;1990;Frau;0.0;Kongenitale Missbildungen
Perinatale Todesursachen;79.0;85+;0.0;11811.0;1990;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;85+;634.0;11811.0;1990;Frau;0.05367877402421471;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;85+;618.0;11811.0;1990;Frau;0.052324104648209295;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;85+;12.0;11811.0;1990;Frau;0.001016002032004064;Unfälle und Gewalteinwirkungen
Suizid;435.0;85+;13.0;11811.0;1990;Frau;0.0011006688680044027;Unfälle und Gewalteinwirkungen
Demenz;1.0;85+;1.0;11811.0;1990;Frau;8.466683600033866e-05;Demenz
Infektiöse Krankheiten;317.0;0-1J;13.0;222.0;1991;Frau;0.05855855855855856;Infektiöse Krankheiten
Tuberkulose;29.0;0-1J;0.0;222.0;1991;Frau;0.0;Infektiöse Krankheiten
AIDS;91.0;0-1J;1.0;222.0;1991;Frau;0.0045045045045045045;Infektiöse Krankheiten
Bösartige Tumoren;7353.0;0-1J;2.0;222.0;1991;Frau;0.009009009009009009;Bösartige Tumoren
Magen;364.0;0-1J;0.0;222.0;1991;Frau;0.0;Bösartige Tumoren
Dickdarm;709.0;0-1J;0.0;222.0;1991;Frau;0.0;Bösartige Tumoren
Lunge;461.0;0-1J;0.0;222.0;1991;Frau;0.0;Bösartige Tumoren
Brust;1721.0;0-1J;0.0;222.0;1991;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;143.0;0-1J;0.0;222.0;1991;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;875.0;0-1J;0.0;222.0;1991;Frau;0.0;Diabetes mellitus
Kreislaufsystem;14670.0;0-1J;5.0;222.0;1991;Frau;0.02252252252252252;Kreislaufsystem
Herzkrankheiten  insgesamt;10197.0;0-1J;5.0;222.0;1991;Frau;0.02252252252252252;Kreislaufsystem
Ischämische Herzkrankheiten;4537.0;0-1J;0.0;222.0;1991;Frau;0.0;Kreislaufsystem
Lungenembolie;329.0;0-1J;0.0;222.0;1991;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3339.0;0-1J;0.0;222.0;1991;Frau;0.0;Kreislaufsystem
Atmungsorgane insgesamt;1831.0;0-1J;6.0;222.0;1991;Frau;0.02702702702702703;Atmungsorgane insgesamt
Grippe;163.0;0-1J;2.0;222.0;1991;Frau;0.009009009009009009;Atmungsorgane insgesamt
Pneumonie;976.0;0-1J;3.0;222.0;1991;Frau;0.013513513513513514;Atmungsorgane insgesamt
Chronische Bronchitis;310.0;0-1J;0.0;222.0;1991;Frau;0.0;Atmungsorgane insgesamt
Asthma;117.0;0-1J;0.0;222.0;1991;Frau;0.0;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;162.0;0-1J;0.0;222.0;1991;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;310.0;0-1J;0.0;222.0;1991;Frau;0.0;Harnorgane
Kongenitale Missbildungen;92.0;0-1J;61.0;222.0;1991;Frau;0.2747747747747748;Kongenitale Missbildungen
Perinatale Todesursachen;68.0;0-1J;68.0;222.0;1991;Frau;0.3063063063063063;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2020.0;0-1J;6.0;222.0;1991;Frau;0.02702702702702703;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1523.0;0-1J;6.0;222.0;1991;Frau;0.02702702702702703;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;204.0;0-1J;1.0;222.0;1991;Frau;0.0045045045045045045;Unfälle und Gewalteinwirkungen
Suizid;404.0;0-1J;0.0;222.0;1991;Frau;0.0;Unfälle und Gewalteinwirkungen
Demenz;1.0;0-1J;0.0;222.0;1991;Frau;0.0;Demenz
Infektiöse Krankheiten;317.0;1-14J;8.0;120.0;1991;Frau;0.06666666666666667;Infektiöse Krankheiten
Tuberkulose;29.0;1-14J;0.0;120.0;1991;Frau;0.0;Infektiöse Krankheiten
AIDS;91.0;1-14J;4.0;120.0;1991;Frau;0.03333333333333333;Infektiöse Krankheiten
Bösartige Tumoren;7353.0;1-14J;23.0;120.0;1991;Frau;0.19166666666666668;Bösartige Tumoren
Magen;364.0;1-14J;0.0;120.0;1991;Frau;0.0;Bösartige Tumoren
Dickdarm;709.0;1-14J;0.0;120.0;1991;Frau;0.0;Bösartige Tumoren
Lunge;461.0;1-14J;0.0;120.0;1991;Frau;0.0;Bösartige Tumoren
Brust;1721.0;1-14J;0.0;120.0;1991;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;143.0;1-14J;0.0;120.0;1991;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;875.0;1-14J;0.0;120.0;1991;Frau;0.0;Diabetes mellitus
Kreislaufsystem;14670.0;1-14J;2.0;120.0;1991;Frau;0.016666666666666666;Kreislaufsystem
Herzkrankheiten  insgesamt;10197.0;1-14J;1.0;120.0;1991;Frau;0.008333333333333333;Kreislaufsystem
Ischämische Herzkrankheiten;4537.0;1-14J;0.0;120.0;1991;Frau;0.0;Kreislaufsystem
Lungenembolie;329.0;1-14J;0.0;120.0;1991;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3339.0;1-14J;1.0;120.0;1991;Frau;0.008333333333333333;Kreislaufsystem
Atmungsorgane insgesamt;1831.0;1-14J;4.0;120.0;1991;Frau;0.03333333333333333;Atmungsorgane insgesamt
Grippe;163.0;1-14J;0.0;120.0;1991;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;976.0;1-14J;2.0;120.0;1991;Frau;0.016666666666666666;Atmungsorgane insgesamt
Chronische Bronchitis;310.0;1-14J;0.0;120.0;1991;Frau;0.0;Atmungsorgane insgesamt
Asthma;117.0;1-14J;0.0;120.0;1991;Frau;0.0;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;162.0;1-14J;0.0;120.0;1991;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;310.0;1-14J;0.0;120.0;1991;Frau;0.0;Harnorgane
Kongenitale Missbildungen;92.0;1-14J;18.0;120.0;1991;Frau;0.15;Kongenitale Missbildungen
Perinatale Todesursachen;68.0;1-14J;0.0;120.0;1991;Frau;0.0;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2020.0;1-14J;46.0;120.0;1991;Frau;0.38333333333333336;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1523.0;1-14J;40.0;120.0;1991;Frau;0.3333333333333333;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;204.0;1-14J;17.0;120.0;1991;Frau;0.14166666666666666;Unfälle und Gewalteinwirkungen
Suizid;404.0;1-14J;1.0;120.0;1991;Frau;0.008333333333333333;Unfälle und Gewalteinwirkungen
Demenz;1.0;1-14J;0.0;120.0;1991;Frau;0.0;Demenz
Infektiöse Krankheiten;317.0;15-44J;107.0;1038.0;1991;Frau;0.10308285163776493;Infektiöse Krankheiten
Tuberkulose;29.0;15-44J;1.0;1038.0;1991;Frau;0.0009633911368015414;Infektiöse Krankheiten
AIDS;91.0;15-44J;85.0;1038.0;1991;Frau;0.08188824662813102;Infektiöse Krankheiten
Bösartige Tumoren;7353.0;15-44J;292.0;1038.0;1991;Frau;0.2813102119460501;Bösartige Tumoren
Magen;364.0;15-44J;9.0;1038.0;1991;Frau;0.008670520231213872;Bösartige Tumoren
Dickdarm;709.0;15-44J;15.0;1038.0;1991;Frau;0.014450867052023121;Bösartige Tumoren
Lunge;461.0;15-44J;23.0;1038.0;1991;Frau;0.022157996146435453;Bösartige Tumoren
Brust;1721.0;15-44J;87.0;1038.0;1991;Frau;0.0838150289017341;Bösartige Tumoren
Gebärmutterhals;143.0;15-44J;21.0;1038.0;1991;Frau;0.02023121387283237;Bösartige Tumoren
Diabetes mellitus;875.0;15-44J;10.0;1038.0;1991;Frau;0.009633911368015413;Diabetes mellitus
Kreislaufsystem;14670.0;15-44J;96.0;1038.0;1991;Frau;0.09248554913294797;Kreislaufsystem
Herzkrankheiten  insgesamt;10197.0;15-44J;48.0;1038.0;1991;Frau;0.046242774566473986;Kreislaufsystem
Ischämische Herzkrankheiten;4537.0;15-44J;12.0;1038.0;1991;Frau;0.011560693641618497;Kreislaufsystem
Lungenembolie;329.0;15-44J;11.0;1038.0;1991;Frau;0.010597302504816955;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3339.0;15-44J;31.0;1038.0;1991;Frau;0.029865125240847785;Kreislaufsystem
Atmungsorgane insgesamt;1831.0;15-44J;24.0;1038.0;1991;Frau;0.023121387283236993;Atmungsorgane insgesamt
Grippe;163.0;15-44J;4.0;1038.0;1991;Frau;0.0038535645472061657;Atmungsorgane insgesamt
Pneumonie;976.0;15-44J;10.0;1038.0;1991;Frau;0.009633911368015413;Atmungsorgane insgesamt
Chronische Bronchitis;310.0;15-44J;1.0;1038.0;1991;Frau;0.0009633911368015414;Atmungsorgane insgesamt
Asthma;117.0;15-44J;6.0;1038.0;1991;Frau;0.005780346820809248;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;162.0;15-44J;26.0;1038.0;1991;Frau;0.025048169556840076;Alkoholische Leberzirrhose
Harnorgane;310.0;15-44J;7.0;1038.0;1991;Frau;0.00674373795761079;Harnorgane
Kongenitale Missbildungen;92.0;15-44J;6.0;1038.0;1991;Frau;0.005780346820809248;Kongenitale Missbildungen
